Head Reachable,Food Reachable,Plan Length,Comfort,Utensil,Food x,Food y,Food z,Food qx,Food qy,Food qz,Food qw,Head x,Head y,Head z,Head qx,Head qy,Head qz,Head qw
True,True,5.799808529683672,2.193505752797543,new,0.5688489682951996,0.5087249982930846,0.2093507242378776,0.0,1.0,0.0,6.123233995736766e-17,-0.2828308999221897,0.5411756419469899,0.6449540050339144,0.5055791123436004,-0.4943305941632199,-0.4886856133582626,0.5110903991788089
True,True,3.5570547532569186,,new,0.5410885061964363,0.453957342752774,0.2004097352393619,0.0,1.0,0.0,6.123233995736766e-17,-0.2690216515428321,0.5787780334453568,0.6247590102670499,0.5430669152306155,-0.452976829316255,-0.4239041901736813,0.565858246593342
False,False,,,flair,0.5410885061964363,0.453957342752774,0.2004097352393619,0.0,1.0,0.0,6.123233995736766e-17,-0.2690216515428321,0.5787780334453568,0.6247590102670499,0.5430669152306155,-0.452976829316255,-0.4239041901736813,0.565858246593342
True,False,,,flair,0.5939810717600817,0.5825511154555443,0.2060663577576718,0.0,1.0,0.0,6.123233995736766e-17,-0.2842569561974222,0.5305275217915582,0.6161855642504578,-0.4541500907449406,0.5419928262883251,0.5370532282712132,-0.4599622825100163
True,False,,,flair,0.5688489682951996,0.5087249982930846,0.2093507242378776,0.0,1.0,0.0,6.123233995736766e-17,-0.2828308999221897,0.5411756419469899,0.6449540050339144,0.5055791123436004,-0.4943305941632199,-0.4886856133582626,0.5110903991788089
True,False,,,flair,0.3508215500510444,0.5714808553175139,0.2003358557530546,0.0,1.0,0.0,6.123233995736766e-17,-0.2788863114218133,0.5161274884062853,0.6297225240109152,-0.446420730164462,0.5483949614327521,0.5648731670481009,-0.4253114189669111
True,False,,,flair,0.5688966339289833,0.4351311241205118,0.2086317892234988,0.0,1.0,0.0,6.123233995736766e-17,-0.2836723619560994,0.5351413751188515,0.6186621435480713,-0.4751439551527801,0.5236776102532428,0.5207737117882201,-0.4783249141656175
True,False,,,flair,0.4399135671612154,0.4845374442395317,0.2002831967114546,0.0,1.0,0.0,6.123233995736766e-17,-0.2870108134517483,0.528093854823674,0.6129248569572058,-0.4573545052793852,0.5392830113057588,0.5264088900103164,-0.4721169036750836
True,False,,,flair,0.3872849829498692,0.5341248829387261,0.2064718951157425,0.0,1.0,0.0,6.123233995736766e-17,-0.2827493776758886,0.5409595501310305,0.6437544843612494,0.50347254041805,-0.4965160370452718,-0.4889920575264074,0.5107582536562129
True,False,,,flair,0.465103266278565,0.5994419871578422,0.2098083533877623,0.0,1.0,0.0,6.123233995736766e-17,-0.2806454693754291,0.5504156526619198,0.6285001400421149,0.524931139082514,-0.4737634051800209,-0.4812735469637165,0.5180456622024059
